2045
5.0631	2.70E+04
5.0658	1.60E+03
5.0662	1.51E+03
5.0665	5.26E+04
5.0666	2.10E+03
5.0855	7.28E+03
5.0875	2.82E+03
5.0875	2.01E+03
5.0918	3.04E+03
5.0983	1.35E+04
5.1015	1.44E+05
5.1025	1.91E+04
5.1297	1.34E+03
5.2168	1.08E+05
5.2180	5.39E+04
5.2856	1.31E+04
5.3814	5.21E+03
5.3868	2.60E+03
5.4046	2.97E+04
5.5647	1.88E+03
5.6807	9.35E+04
5.7391	2.34E+03
5.7396	1.17E+03
5.7602	5.85E+03
5.8156	2.49E+03
5.8162	5.05E+03
5.8358	2.03E+03
6.0525	7.07E+03
6.0537	3.54E+03
6.1065	1.42E+03
6.1713	1.11E+03
6.1721	4.96E+03
6.1756	3.09E+03
6.1791	2.22E+03
6.1804	7.68E+05
6.1856	2.34E+03
6.1858	3.84E+05
6.1864	1.67E+03
6.1870	2.15E+03
6.1896	1.78E+03
6.1993	2.73E+03
6.2003	1.72E+03
6.2019	1.31E+03
6.2024	1.14E+03
6.2317	5.80E+03
6.2461	2.42E+03
6.2508	1.67E+03
6.2700	1.85E+04
6.3139	1.52E+03
6.3452	1.43E+03
6.5800	1.27E+04
6.5802	6.35E+03
6.6348	4.78E+03
6.6457	1.64E+03
6.6480	6.48E+05
6.6499	2.83E+03
6.6505	4.63E+03
6.6545	7.59E+03
6.6545	3.59E+03
6.6548	1.23E+03
6.6550	5.25E+03
6.6559	1.19E+04
6.6605	2.40E+03
6.6612	3.98E+03
6.6630	2.45E+03
6.6632	8.78E+03
6.6644	1.35E+04
6.6775	1.42E+03
6.6809	1.10E+03
6.6820	2.49E+03
6.6851	2.12E+04
6.6883	7.84E+04
6.6891	1.60E+03
6.6897	1.44E+03
6.6898	1.52E+03
6.6956	1.35E+03
6.7180	6.64E+03
6.7191	1.80E+03
6.7200	2.64E+03
6.7210	2.19E+03
6.7282	2.11E+03
6.7378	2.83E+04
6.7382	1.42E+04
6.7388	1.10E+04
6.7404	2.36E+05
6.7432	1.64E+04
6.7843	1.26E+03
6.8111	4.15E+03
6.8208	2.22E+03
7.0063	2.12E+03
7.0536	4.40E+03
7.0910	3.73E+03
7.1058	8.53E+04
7.1069	4.27E+04
7.1376	1.85E+03
7.1646	1.29E+04
7.1690	2.66E+04
7.1709	4.93E+04
7.1763	2.46E+04
7.3103	5.83E+03
7.3700	1.14E+04
7.3891	2.65E+03
7.4380	2.07E+04
7.4406	2.27E+03
7.4601	8.82E+03
7.4703	4.48E+03
7.4720	2.24E+04
7.4720	3.17E+03
7.4731	1.31E+04
7.4833	1.47E+03
7.5456	2.08E+03
7.6709	1.24E+03
7.6800	2.46E+03
7.7330	4.06E+03
7.7573	3.24E+04
7.8070	3.70E+03
7.8505	4.07E+04
